Designator,Mid X,Mid Y,Layer,Rotation
C1,18.5,42.26,Top,0
C2,21.01,42.26,Top,180
C3,13.97,42.16,Top,180
C4,11.3,42.16,Top,0
C5,13.97,36.07,Top,180
C6,11.3,36.07,Top,0
C7,20.32,20.42,Top,270
C8,20.32,16.31,Top,90
C9,13.97,26.54,Top,180
C10,11.3,26.54,Top,0
IC1,19.82,40.22,Top,180
IC2,12.7,44.2,Top,0
IC3,12.7,38.1,Top,0
IC4,12.7,28.58,Top,0
R1,13.13,49.66,Top,90
R2,10.36,49.66,Top,90
R3,18.67,49.66,Top,90
R4,15.93,49.66,Top,90
R5,14.53,49.66,Top,90
R6,11.76,49.66,Top,90
U$1,16.26,7.18,Top,0
