Designator,Mid X,Mid Y,Layer,Rotation
C1,15.24,38.86,Top,270
C2,15.24,35.56,Top,90
C5,10.54,38.86,Top,270
C6,10.54,35.56,Top,90
C7,15.37,22.28,Top,270
C8,15.42,16.84,Top,90
IC1,13.21,37.21,Top,90
IC2,8.27,42.39,Top,270
IC3,8.51,37.21,Top,90
R1,10.49,43.84,Top,90
U$1,11.05,7.45,Top,0
